youtube_id,label
LslsXyGeERs,3
jamrs2VF8kE,16
ovmQeyOv2ao,17
xamUQMCj0lU,12
Nw0kDsRSS3M,15
mKA4HIyn8ec,17
zDuofHpA4V4,0
a2EU68LEs3A,11
Do7BwSZuiUE,2
Q6ocC9ZXc1M,12
hQdzBW3GL7Y,1
UnovBIlPLdQ,5
jLSu71soJmg,17
ywh13bhEaLo,4
U9WRQMumFqM,8
O8nNB879FlY,1
NY9BPwabx8Y,17
nnXkXCEbD-g,2
fkVg-XVVMHc,6
69T6rUvljVw,7
ul-ZuTfowNo,10
QnkNZ76dLes,7
Gz1vQcm0c5A,11
YfWRGmcRLec,17
dyAhjhRvzR0,9
b3Ek854ITlE,18
qADAHZDo1aw,17
VYXlBVizYfg,12
qYGoP6WpEB8,6
KI9f7Gclu28,12
aYrD1CkFE8E,10
BCKfKm1vWBI,9
5rTGxFo0gus,19
h15m87WsCHQ,11
PW7nuPsSgEQ,0
bIZKOUSNmm8,15
Z8eDXKDFLNA,1
AXVN2hsoPnA,11
CrpGt8Q1Xps,2
n9AelAAeoOE,12
RpH6iaQZjMs,8
tVvmFuitR4o,12
rxWYw64LJ98,14
aQsbTcz-gt4,14
-I9D8V2YNds,4
ENgpwOAwH7I,6
gnEGDnxIndI,15
gKeNHn36R3k,4
dDBTnCEkVTA,1
kMwcAPFDrhU,6
f3s4WyucCg0,0
Ks1uO7viX0k,15
81kKfo31KwA,16
462UM0Tf75s,16
dqTnASlJad0,6
c5jUKpAAq5w,6
Mvqpa4evlG8,6
497AthZ5WVo,10
DufkeQOkfXs,14
9lHNtnBSx6U,15
AyV6ciQuAOE,11
BUAL2wZsyEs,3
jL1dTv2JuZE,18
SZInWQy3Kss,0
psgHlmiwc-4,9
PaOX1HveB0I,15
HXnO0sbRhRI,19
pLxiCjI3nOo,1
ITJPVZjPYhQ,1
Z7xz0u8Mjbw,7
JDm8wbJm63k,15
rAmS6VOaKhU,1
yHfbbGiUcu0,9
f64rZrz1VG0,6
NcG9M-VZmME,14
d2UF5Jl9JmM,12
ugR03a7V3Ek,10
kr72GsUdYrs,4
jdcSThXed6I,6
nxUw54yDVLc,7
ySNm8YmUJ5Y,2
NuhgCpws31I,3
PrazWrfgMb4,7
ohXo6eucH6g,6
-kRPYQyOKrw,17
F4kglpG-x94,7
jmUD1ve-eeg,7
hhUYUGTZ2Ho,7
K-iFkt7F0s0,14
zMINHl88aqY,11
pOeTnC8lvQw,11
uIbKzq-zSHE,10
mYbkAaTJMJQ,18
a0MOnf5GsIo,6
8vafAppY23Y,5
cvzUR6KCAg8,19
scQdP7B-62s,15
RLgNS8oI0Rs,7
byQu-hcqMf4,19
uJIA-FeEOzM,16
Y0AcqxCxyxQ,4
wpfwDgwfB5I,10
TePip77Lc2E,7
bHJsaR4Vkuw,6
YZUaBkFeDts,2
qEWAcKCAbvs,8
e11AvWWWwjY,7
SsGAiov-9fg,9
EW36fZyKIqo,2
qVAq6OUyjBQ,11
KzbVqJgL77Y,17
KddE6cB2Pjg,5
8GUT0F8Fo08,10
PlwddqHJ-c8,14
U381lib72Nw,16
qgd5mG-nXsA,6
VBdOXL1-nUI,16
QdHwQPGmBXU,12
28DLfzsXZAQ,10
t-uyM6R5rFI,16
ohRxR4HRkVA,15
FiArXNYWmAI,1
b8BIuvzCelY,13
gMpIH2ibViw,16
3x1MAlK4kns,12
XRZ9uZ4h0Ss,7
MBCMWPnao1s,18
Db4aWKFqow0,16
XiV42JVZzMI,2
S6C-JLbJppk,11
IXkUld3Hkx4,16
dLKH1MQOtuQ,17
8nswQUauacY,14
Mf3IyeMF8ug,8
5GQeHBVCCXY,2
3GFgs0aIvTc,6
XrXas0BBjCk,14
ggZBoCAVZWc,18
25ze0A3NqTI,16
B5R-bboFgYg,12
VEBqK5WUA88,5
lktJEoNrOAU,18
sCjsSUDqT3M,14
CYoCpd23ZJ8,8
Gk6duv-N9Mw,16
HELj-Udts2c,14
gBpZM7lBjKM,17
z6UipzyBQGY,5
wWBHaGketro,2
6FZPGXXkaus,8
oqw9LYinkLg,18
jIEbknvxsBg,10
bUTjfPTxhqo,1
R8VsCrpy0P0,14
gJ9x1rK9cJM,16
CWyMoVGmXro,17
n3Q6aQvI9GY,16
YjBsEoKCSms,12
zCB-iYXO9zU,3
3usr-OQ59fM,1
2zCQO6unYOA,4
r-XQMXUJBqk,0
MaRpLS4516k,6
glAcLc34Z50,5
XOnQFAaFwLQ,9
3c0uySvHwng,2
rWS7ZgOb3GI,3
zCVpxUU-2BU,2
QIqDMT0TQrE,5
g6nlGgHxoRk,14
2J6VSWoEcDk,8
cQkcuqFCXhM,1
qTMCfaGKRBQ,3
oosodaCym3A,1
jHW6GesEubw,0
dSI9xmR2gOY,4
7AJTJkbyWLs,3
iNk4dkshCFg,12
Wei7rB2tTHA,9
a45Y1OVF5VI,5
bAFZSUkT8i4,4
X9wr5yppQaw,2
EbP2O-0dON4,19
GOBIRBMFpLY,2
REZrz8KAcsw,5
FoMNXwHFwAM,5
32e6T6hRm2c,3
ZNED3EgvDJQ,7
33QF0-1ocSM,1
U5m5JM1BDAc,6
rdHOdfiS-w8,14
-b9VMb0QwtY,0
4ySOBNPGnQ4,5
Ocj6I-gvuDk,6
vWAc9KMW4Ug,15
eUv8KXu9ZvM,5
MW5z256ndZY,0
HPnxr4bOYCM,15
MXxphzGU5vU,11
XfYs2pF5W9M,9
J3MHQ7OHjxc,5
yw1QmnJbzRM,14
7sosjCVJsiM,3
VuyoDHsRxeU,2
eMNKkS0VY8I,1
sfSx3fMcLqc,15
STOx-FF6sgc,14
ZPVr87xIOrc,12
GVpMVZ48hC8,14
isTUMgIfMjQ,14
HYJVUo6eEqA,14
qNGpzvkAtTA,8
UD2nX8BH2zg,0
dg9lfjnRu0Y,17
Y1yQUd-RFwU,7
0l7sy0L7lBI,16
jldnHqTqtd8,14
xFM-JgYUjwo,4
vzA4APHEBk4,0
BPHSoFHwGBA,9
0Zce-xGFFqM,8
9TciAFXBKVM,14
0Or3nOLTTwc,18
FevGX0DheFY,12
hMrb5DoTrKI,12
K1MPyj-IVcI,5
ZXktApRbrtY,10
b9p-RcIBBII,15
3UPNZyeQtrM,2
RW3A5Ror-UI,7
EPQ3SzKSQgM,1
KuH1tDuRvXE,11
XDScB3sfJoY,18
krYdt5uuo60,14
zgf3NskHmfc,4
f04bKuUBX44,1
vY3oI0cgNMg,18
Hf0mxHROHW8,9
uxKBp3WStYY,14
eH6YEhuO6E8,16
nIetoBhHby8,12
0Vx6pI74Y8o,1
ra2tUZ8-Fmk,10
6WPe2m54HZ0,19
MEoW9TdGqnU,10
HhfKyPqEzWo,11
VT5fqwFsqA4,4
Z3tYVxeNt0g,1
whnQBcmTlYQ,14
xItZ-6f3CBw,4
gFm5KCLBxZg,2
xry-JO6yjUs,0
aePzcW4D7ng,15
WCqJR78DHGY,8
5xLrWeRlzUw,13
z3VSmVLC800,0
yP0YESPYWUI,5
uzCEI4C8Ji8,18
x1Bmf06CTT4,5
uhRUups1Tvg,12
bNEgohjjyYI,9
B2-r4jGQHkI,9
VrLTLydEOBQ,15
bo5dnogjPME,4
TQkZ5G9zJSw,17
TY07SjtNpD0,8
9LH1StixLVg,5
TH7XlcwBYUY,6
RQpC7CzK0ec,8
6j8pn3HxMv0,2
BZa6vlpAlVw,18
tLo3MSZaIPI,17
v69Fi-oVNnw,8
UdVxd1A-5ko,4
P3H5bBdnh8Q,6
st5HRxgh4Yg,8
b-U4AXoeMVA,11
qoWPE1FZ8WI,12
bZfQl-z6Y7Y,4
Zma6JwlTCxQ,16
JfHbszhATEw,12
vE6Rdrp6a5w,19
H38epvn-EmY,4
-Z-KvgyNArU,18
fivHX77rMRw,4
ZXAmrtEbDHM,19
Z08f6msPR8s,12
joVYxzYjQ4E,15
LAv24TPQgQw,4
tN9DL8nASm4,11
H0WPD-IVUs4,6
lxlFU6oTFJQ,2
hxjauOu9Vs8,1
3YVaYMRuorA,16
8NUvArsxbaQ,0
yJ6pkfbuziA,9
ZqxdNT8n2Gc,5
hAM0ir6KxfM,18
80fpM8PUrUM,2
8PMTWY-5CNg,4
AdjGBJ5sLqA,16
8cGZHIlqRIc,10
rAI33HAPeDY,15
N3RbdTJuBm0,14
SOQAwh6JXVU,8
y0dPo1i7Hls,2
xzHDkzByrKQ,6
wXZxPX4Cv04,3
qguduJRhLl4,17
dWGGLCG7oug,2
VxYguaUSkC4,13
9FmG7dhGdH8,5
qFbaebxNW6c,13
0wVnhKjL1hk,16
JgAjtk3nK64,17
fMBqvbXjgmc,9
GJW27skxknk,5
MF-74AVdqeg,11
CxP8MLfSqP4,1
sOqGpMznKws,11
1JzxVlIfTD8,13
bChtWGiqQn8,11
lU6Z-1U2EQE,10
RVotMQFI8GU,19
FU8sFbdWk78,6
-Voc0LPhfL8,8
rBbiCadttXQ,7
9fgOUZashOk,1
EMSAnpBlVgQ,17
mdH7PnifplI,4
kfd1wOdsh8k,13
pZU3omQV4J0,12
gObWETA7oc4,3
u50saxL0-aI,18
UYLKlAr8gJM,16
clUgEizjVkM,11
5BuP7zg3EfI,0
8popo4lpXsg,4
-BtQqYdMQU8,12
JSk4ON1I-VA,17
OlVy83QcgOk,7
g25yfyMRAFY,9
CMKBgkoe-js,0
lt7M50ZRooI,6
6gmc79zOAQc,6
YN1K9DLAYh0,11
THmm0tmAGjM,9
cQFfMjEwPqE,16
ye5XDMKAVFQ,15
3SZXL7l39Tw,5
JLudytwYrEs,15
JbnFdsmspWg,12
QP2IYVyoq5I,0
tJ6zsYsLtBM,2
QB1fr22TCGc,13
lB5MNUWMkxM,4
p84nEVeHo7E,7
L4beWkbN-Hg,12
1o6Q6F4YTDw,8
v0ygKZehx3Q,1
Cq5V3kpwedk,17
y5Z6Ca0zz14,15
2t5W4iSoYV8,5
shbwB5Ut5G4,5
OrO4H4dozms,4
BkSUp1nkZEE,2
fzEGABpwO2E,11
CVFmAe9Qx04,5
7P6VhjNoyoU,11
PpMo9BzZ114,11
WoJe0YCjEYk,3
7WFl898NF2Q,10
JGoc6jOLUG4,14
MoFeizcviGg,8
hIJ6VTEKji8,0
Lcnb8Az82WE,7
DBJqXHrqlCE,14
ZrZXCNjFOOk,3
SFtLNY8cowY,11
Czizcr-s9aM,2
bqlynDTN1S4,4
ZUkWLlckdag,8
5qViTjSRjUk,1
G3iYzooAZAE,8
TNBbeKqSHjY,6
nimoZaqx83M,14
Zb05M-gIKqM,16
t0H6-IAHrnU,4
CWPvOP7baRY,9
dWRaBTyvlm8,3
zjmF7-dVgcQ,14
RSRO4yT38Do,17
mF0B7kL-Rbk,7
lRPSpBoYZq0,14
IgfoOKp00LI,8
CvLoYdzICxo,18
7TYDyd-wpyY,6
8DApt9JdJGg,8
AvXpCnacurE,4
BcADc-m3VSk,11
5qN2o10UeC8,10
FzJ7MCz1CLU,16
kCmfxa1T2dg,14
gAhsbMpusCQ,11
WWL-Z9nqe1c,4
s7SkzaI57aQ,15
VePTT-hQ4wE,0
0M8-82fq7oY,16
bm2mbRKBUJg,10
C440S3mGSLw,4
uuozn0i-De8,10
QiZ033i0PMM,0
O5wOu9diXr0,7
UZGpG7TqZHs,8
0yAa3oIB0TI,1
dgRzGU76InA,12
925u1qdT9zY,16
wk97vR-3ljA,14
fb61wQHeqXA,9
ZgfbjhasMbw,1
y5pZjxr7DAk,18
PJtkzuVzUnQ,14
qtBdSN1yfKI,2
SsaGQgH0F1U,6
JJCyy8EFY8Y,4
Eiv-DllxdsI,3
f7NF-RsdW-g,3
GaOmqBRhEsw,7
yQ2Ox7-dHBs,2
m7mNXJYj6OA,2
PwXaaaI39rY,16
85OFW8rbDIo,4
81wF5oyKE7c,5
qM59xFgCM4M,12
nMVtDxLo6VU,5
30BLZHXwR9g,0
WZpQj1yMyyQ,6
kPuaGtiAFoY,18
B6PpytTEh58,8
0Vq-tbqCPWY,12
KSG7NfW0KJ0,2
96q99M9qT24,16
ycl54Wh3HdA,1
R0lVlJAAi0Q,10
E9iIj86IKW8,7
tKGvJxwzec0,18
FeTjce0h4B4,2
32aJIj6CaRA,2
pxNO-lQJDJc,12
iIJr8Sk2xMU,3
PQupOWLhNIA,5
TLqWrnaP0w4,4
ezJSUNYTQho,9
mAqtTlqPXAA,15
LM0n0Xuxtrg,11
zxTvC3-is9M,17
Ho3Q4QlnqXw,16
MfwiY0pJtOk,15
Jh73PZ-C5aY,10
Qi75EWoG9Wo,3
caI1pLlBTqw,5
ayxaIsVh7TM,4
o0VmgDUrAU8,2
r--0LDKvM3c,8
6OfgXMp-zPE,10
cu62FvjV9Rw,2
Wzz8o0xKkdo,14
ZiYpWnb2AjA,2
mB-1N02pThM,8
7fuzfzxU9aQ,5
jih5QR6vMtE,17
rqj148X9sLY,9
Bmyok-vE1Ek,7
StgHyNX8hmE,11
EhY1UuFW3N4,7
VpWSl5VY5pA,6
bH2e9td18Sc,18
PHTAeicQ8As,12
z5tacX2coYA,0
QoGda91p-4s,6
dZxm3nvgWfk,6
hz5dEktGV-8,18
tRpPHylKFCQ,7
gHCZ8G0RybU,6
f9tZNWW-cDw,14
92IU-iI23eg,17
6TK8J8gJ738,6
FZwQxSZVjIQ,8
M9os8QNudic,15
Q5cQZVV41QM,13
W8dQcCLpigU,6
HRukKAzjH2o,16
-ToYMwdP3l8,16
lCarpPF-LJQ,12
Qmo9D73hWXY,11
NcRllFmO5FU,3
kaaNbU9Sr0E,14
2kh-j9ma9LA,6
Lb20BZ0bHSs,14
-6usjfP8hys,1
Zz4cnNChxSw,13
O8SqOjKemjE,1
SPfLcQPD5UU,7
Z1OJ7uZjryM,17
U6N4lSWv3iw,8
Fwpxq2Tv5OI,5
LTWdafYXUk8,2
fIjQKOkdqiY,15
RZZDVS4nE0Y,17
HNgeahck9sY,12
O7RA-J9E47s,7
waUXW1hXv1s,19
qG226L8XCJs,14
x9KfH4c3VmQ,4
77yNLAdJQ2c,5
Am2dSn7MVUY,9
6BLUHPGCj0o,3
1WGGz5t7rQM,10
rzJ9sRqRPVA,5
bSjV9V5yFAE,16
zKG4noO8VO4,12
AGcApwXsva8,4
ThoBkuUUzrs,11
TMZcs80R88k,0
X817icF1zXk,5
bqm52Fiaev0,14
dFJZW8KX6G8,2
7G4BVSjsQz0,6
pxLqo3aeN5Y,2
60PPdWEp0ec,14
cUvYTwK94Lk,10
0T5E-XoI5Zg,12
J-IrOfdDH-8,10
iiSuqVp97MY,2
Hhc10CrukfA,6
g2fDUr15bYQ,11
E0Pxsust6go,5
Am3aAkoLlyI,11
jgKzZ8o-jCE,8
yE9LQwPSvIE,18
Sd2pJIwuRMw,12
O4HG3GI1No8,11
q1tu5J4bEP0,1
aoXv3e95plU,10
LIuFxGSwQug,13
mDosM-cN85s,3
qXbErVXNIiQ,3
zf8zEpb1BiM,5
0acHgv8A6U8,6
6X8QZFadY-U,6
UNFmErMf0rw,7
hAdvXKeyFTU,7
RUPFUA42Sgk,5
WMq8gzihP7U,11
BhNFVqJfGzw,7
TlO-eWnF1Ok,6
Dg-re7lI30M,12
ftaJnQvAALo,0
hxD3nlxLup0,10
YBdy4uzk95E,4
rF0jGYidX7E,0
kgogja3BCoM,12
HMfTKEEiJTE,2
MCzrociFATk,9
tCBhWy5QHr0,10
UhklPkQjSXo,16
B5ZYHo4hLv4,7
8n36YcvzZSw,10
xdNPvB4nGGE,7
KA4buXoWTa0,9
bxJjMFRhRxQ,3
KLQY3MrfVhc,1
NVIRgsaIHU4,2
mcaAM0OTkjc,8
mdQvJavSCbs,19
pq6GgibxDI0,15
ylixf5Epx3A,3
iyKeedfee48,6
-Ka7cGELbPg,7
8ea9IFxG20s,3
UMHsKftdla0,13
keK3qv5Nljc,12
lJX6iWoMzMQ,9
Q3XGZmqk1Q0,6
Cqgy01l3dtM,10
0RnftJozJAU,10
d45Y8bpHlwE,4
fXtQcBoqPF0,10
w6cFz9MrQw0,12
Fy2kWObZfsQ,2
r07xoykxsBU,10
UMSyH90Syxw,2
pMxCd6OArlQ,11
x0NTAy2tN9s,4
0YZnqJIOCE0,16
ixKu8q3YtFc,2
KRTwXhIc60w,6
zHvKCgs5NR8,16
S3oJa2vqng4,13
1VX4iuBsfu4,0
QrZ889hV6Bk,6
FEYddzLDeWw,1
PAw7X3IO6IE,1
JzHRjVZvXcs,17
-c5ZxVi0ZME,4
A9lRkfvOGH4,5
KEnS0kYSsAY,8
-CTvtfED6Ak,16
nFackg2E54w,4
bUhZFADNjdA,0
prt12jyxSMg,3
LMgk0AE4mp4,6
T5FkCv9yfGI,16
Oy78mSnAdic,0
NZiqRbArLeQ,5
3TPu9JDiBHg,7
PvzhTqMoCXw,7
kLvE706lLCM,12
9i8NzOVivAw,3
s7SPBCKnyE8,1
ahC495A2xas,18
O3hViyYl19g,4
aRf5Bt7ksdc,4
5bURDTZ6I8A,15
rKJk6ws2sGs,8
1MXzldqZYx8,15
Ia-3HDa93PQ,18
DkAsof2DbwU,14
mRxvga4XXHk,18
4JOtr2ba7iA,16
6hypOM7suKg,2
uN4ey44pGp8,0
LaawoskVQFg,7
uHgzumNu-Rs,17
1FnN5XLzjV0,9
8zipMT9DnUg,16
EUY0lPkiIQQ,6
xWGNq7B27BA,8
9elcZF3KA6k,12
DnF8xXkEvOQ,12
6Gcepm9zlRE,14
ZPuzskYHnq4,9
1eCO28FZTXs,18
i-OJlywFP-A,7
AAPCBudAyOM,18
BFEPOEELBPY,2
Red1y12SMzw,13
9NCNoAerusE,18
y5xxt66WLDo,16
TZRSwXQXBTM,3
Pqmh10qpV-8,16
uNQi3Vxsbz4,17
okiAC86Hhic,8
MExVHBDlp1Y,4
i7Cz43yOC4Q,5
gbTFN5I1x10,10
N9SzNeM8f2E,17
RP5Hilchq0Q,6
G6GwMKb0aI8,7
ZgLiARswrLU,4
wFhuGYPIKlQ,18
ItmUQEgr9as,11
1ZCkw9Cu1fE,12
VA1XgTQQLN0,16
Gd0KQv57Rq0,15
XuKy8v4nFck,1
B2oK-Y26eSI,16
WZaxQ00ks1g,15
724uChOWP7Y,12
fmhXAb12mqc,16
ncfqfzFqNck,19
GiOmBE2gZB8,17
3uhwdPsH6To,2
LG8tDeM0xI4,17
pTSbOzSajFw,3
vKtBGgDdUMo,16
wAlV9c0XHAM,19
O9bgE-vKiiE,3
4wYxmO9Xs-c,4
kI-f7XfSI4w,11
RMBdd90EDbg,6
DF19OZdC7y8,0
2nRplNIjpSA,12
XVaF4eYpfmo,15
DY0Jip18rxY,7
dJIfXN1nw6Q,4
LsDBYAVxEqA,4
W-1Xq9YunTA,9
LeCqerENvKE,5
G5JWn4PvvCw,5
wL5f9i5aIVA,18
L2OZt13WwzE,17
Mb2PDekcqks,3
cbgUVCFyqs0,5
G9cNtyEPTUY,2
aFqfDlvW1Xk,16
An4ZvFEi7Yc,9
8UrliiiUF0w,12
r7sZeLXrLNo,1
5AnCDWFLjb0,10
qwXdZoQ0Sik,15
WXw4KY0UJDk,12
0IOzFP3W0VY,16
dg8MTbxRBHo,14
cCpa6JBtWNk,1
ORWp-Qx1-1s,13
lhWW9vm2DuE,9
fGxl6w1Dj2w,9
T2OUTfNxSkc,15
wqvMbj6FJt8,9
fHOQpgrZgRo,13
ja5ntD99fJE,10
445tEoIGQUc,2
0Wg45KEoKfI,3
YvsmZ82vxKc,6
AD8AT-yJXPA,18
wdQeNXCvS5k,2
VNBb-brCO7E,8
WA1GhNbJfwg,19
ciGCSCIhhj4,12
Atz9JUyvgrk,12
oLPOY4HemNk,11
9NrdUJUSqDs,13
NA9ODO0WsH4,16
WHOYJ1NWS5g,17
t3gKuYAr7IE,2
JlXx80klZb4,5
-e6Zra4ke60,18
mosJdEbdKnw,19
vjhVk7ichDc,16
Z9BKEUvhR7Q,5
TgTtVSGgI78,8
1TIvcHENvAU,3
8EKasgXxX7M,4
FjPrZBpZuDw,16
0Y4zTYoHg4Y,6
-W9-MeRbLeA,1
6cOaMV0sQvA,18
E6YhWdIJg5c,11
5j9uh1GCd-4,19
JA8APCxyhUQ,1
IAJZgoPk5yo,12
4ojMj2VPiFA,5
IpxEUWSv6II,17
2-WZCy-Bdds,2
Wvpx--ufEEM,19
YAjnE2Nr9Fc,5
-WKXzXGaKzE,16
s7JvcNaUwv0,16
bscUMcCmyYw,0
qfRJ2c2q3ik,10
rGD9rT3P1Pk,2
4y4juQqBMYo,18
C6f-nCuK2jY,4
IwwkHLETriU,10
JdkF6a3d1k8,12
Y89Ac31BcLI,4
ReeqQr3FT3Q,12
rZHHEKM0J3I,12
pvqGiDUFOKM,9
RGokPMMzEFE,17
QchEFFQJ3d8,17
31NWtuYRyjo,13
EW4r-JkF4wE,16
l0KF-XuCHEA,4
pKAkazfIXFw,6
-5s-IR39XaY,18
jc7tmc6JqE4,11
UTtWPjJpLuA,4
ZK2H5KlcHVM,6
nIoU2J7Spxk,4
Tv0-bBaGsto,2
wNZHrqnOEh0,9
cnRczfjbSxQ,15
2djtbcbuhkI,6
XGHVx8HGJQE,8
pWehbjFyfoI,2
IoakOZv9aDM,11
hppn4TfZJCM,14
Y3kD8e9cVyw,10
PVFocPAWCng,11
o6sOfr4banY,0
fqFPekgulsY,0
ZYdzunAfSPw,12
Hkv28b4vHu4,12
5jIRpRhwg6Q,3
ypKpWM522jY,10
uO2bEU6Gaok,7
9nUop22xsZQ,11
5lBe-f8CzH8,17
zflAk6tHImY,16
5boIrHPcbww,14
JnvbppvD4wg,1
x6-CTXRWYGc,5
KJKMceXl1pk,7
DeFUPy8VxRI,15
6ZkCVUkeCSA,15
zTG8IRKTZBE,8
KKidq-0KdSs,17
Vb5kUfjk-WA,4
3SaSSpgGcpo,7
z3Y5005qD0Y,4
LQiWjeBo3Ss,17
wnHnSQGBPhQ,17
H934pWFnTUo,12
BQ1-GWNtEgQ,12
VA58PyH4Sh0,6
LahltKu6Kms,11
97anN8aOzrA,18
HcBaPCEqe6M,18
zK9Saq-6qB0,3
BBw93tTUFZU,11
AiebkdnVZU8,11
lhKZvm9ukbs,1
P1y9M5LyF5k,11
uatIP3FGQXk,19
FeA5dXPYFs4,18
bYSkhbDsh2M,11
DjcTQZeLYMI,14
PXvotYfimE8,11
7UyuKbuVCLE,17
KXHvWneX8fI,14
pMS2dU0FuPk,3
8ntUvjbLg1w,3
Iz5xaKrYTgE,7
EEklsvkgEY4,8
eopPURA6yM8,11
OQDIvcXX1sY,12
FCgW-w1wow8,16
NLa-fy3JnpQ,11
uTSPSiJuxZI,13
VR2NcVdbiaU,3
7Lm1p1bdJJg,15
ulFyS4munjw,17
r27Rxm-cq24,2
oyfmbbAc1UY,1
iDp8rZ7m9HM,15
-dFmacaNjJI,10
xUDJzhgDQkc,12
5B7buXhs5jM,0
l8wssKFdyKo,6
A8726TAOJ5M,12
PWhoWFk7fLM,1
zaKtdxQZWJA,17
fk8nCtw3kEM,2
Mgw-5m1u8O8,19
H-4lK1WwVMU,14
yO2AbGWCERg,14
EF7PFYPcsnQ,1
M8o6rOBNQtU,11
3SJpuJctSCY,6
fbiHwGBsRr0,15
ifJDz5hgf1o,19
fiDWAHvr0sg,18
FZUhzFSkHB0,7
YaHZmjfXMCg,14
